time,necrotic_total,hepatocytes_total,kupffer_total,macrophages_total,senescent_total,real_time,exposure,run
0,0,600,150,0,0,-8,505,1
3,0,600,150,0,0,-7.75,505,1
6,0,600,150,0,0,-7.5,505,1
9,0,600,150,0,0,-7.25,505,1
12,0,600,150,0,0,-7,505,1
15,0,600,150,0,0,-6.75,505,1
18,0,600,150,0,0,-6.5,505,1
21,0,600,150,0,0,-6.25,505,1
24,0,600,150,0,0,-6,505,1
27,0,600,150,0,0,-5.75,505,1
30,0,600,150,0,0,-5.5,505,1
33,0,600,150,0,0,-5.25,505,1
36,0,600,150,0,0,-5,505,1
39,0,600,150,0,0,-4.75,505,1
42,0,600,150,0,0,-4.5,505,1
45,0,600,150,0,0,-4.25,505,1
48,0,600,150,0,0,-4,505,1
51,0,600,150,0,0,-3.75,505,1
54,0,600,150,0,0,-3.5,505,1
57,0,600,150,0,0,-3.25,505,1
60,0,600,150,0,0,-3,505,1
63,0,600,150,0,0,-2.75,505,1
66,0,600,150,0,0,-2.5,505,1
69,0,600,150,0,0,-2.25,505,1
72,0,600,150,0,0,-2,505,1
75,0,600,150,0,0,-1.75,505,1
78,0,600,150,0,0,-1.5,505,1
81,0,600,150,0,0,-1.25,505,1
84,0,600,150,0,0,-1,505,1
87,0,600,150,0,0,-0.75,505,1
90,0,600,150,0,0,-0.5,505,1
93,0,600,150,0,0,-0.25,505,1
96,0,600,150,0,0,0,505,1
99,0,600,150,0,0,0.25,505,1
102,0,600,150,0,0,0.5,505,1
105,0,600,150,0,0,0.75,505,1
108,0,600,150,0,0,1,505,1
111,0,600,150,0,0,1.25,505,1
114,0,600,150,0,0,1.5,505,1
117,0,600,150,0,0,1.75,505,1
120,0,600,150,0,0,2,505,1
123,0,600,150,0,0,2.25,505,1
126,0,600,150,0,0,2.5,505,1
129,0,600,150,0,0,2.75,505,1
132,0,600,150,0,0,3,505,1
135,0,600,150,0,0,3.25,505,1
138,0,600,150,0,0,3.5,505,1
141,0,600,150,0,0,3.75,505,1
144,0,600,150,0,0,4,505,1
147,0,600,150,0,0,4.25,505,1
150,0,600,150,0,0,4.5,505,1
153,0,600,150,0,0,4.75,505,1
156,0,600,150,0,0,5,505,1
159,0,600,150,0,0,5.25,505,1
162,0,600,150,0,0,5.5,505,1
165,0,600,150,0,0,5.75,505,1
168,0,600,150,0,0,6,505,1
171,0,600,150,0,0,6.25,505,1
174,0,600,150,0,0,6.5,505,1
177,0,600,150,0,0,6.75,505,1
180,0,600,150,0,0,7,505,1
183,0,600,150,0,0,7.25,505,1
186,6,594,150,0,0,7.5,505,1
189,18,582,150,0,0,7.75,505,1
192,38,562,150,0,0,8,505,1
195,42,558,150,0,0,8.25,505,1
198,50,550,150,0,0,8.5,505,1
201,56,544,150,0,0,8.75,505,1
204,64,536,150,2,0,9,505,1
207,69,531,150,2,0,9.25,505,1
210,78,522,150,3,0,9.5,505,1
213,85,515,150,6,0,9.75,505,1
216,89,511,150,8,0,10,505,1
219,95,505,150,11,0,10.25,505,1
222,97,503,150,12,0,10.5,505,1
225,103,497,150,14,0,10.75,505,1
228,105,495,150,16,0,11,505,1
231,108,492,150,19,0,11.25,505,1
234,109,491,150,21,0,11.5,505,1
237,112,488,150,23,0,11.75,505,1
240,116,484,150,25,0,12,505,1
243,117,483,150,27,0,12.25,505,1
246,120,481,150,29,0,12.5,505,1
249,125,476,150,31,0,12.75,505,1
252,130,471,150,32,0,13,505,1
255,134,467,150,33,0,13.25,505,1
258,136,465,150,35,0,13.5,505,1
261,138,464,150,35,0,13.75,505,1
264,138,464,150,37,0,14,505,1
267,139,464,150,38,0,14.25,505,1
270,140,463,150,41,0,14.5,505,1
273,143,460,150,41,0,14.75,505,1
276,144,460,150,44,0,15,505,1
279,145,461,150,46,0,15.25,505,1
282,145,461,150,48,0,15.5,505,1
285,146,460,150,50,1,15.75,505,1
288,146,461,150,52,1,16,505,1
291,146,461,150,53,1,16.25,505,1
294,146,462,150,54,2,16.5,505,1
297,146,462,150,55,3,16.75,505,1
300,146,463,150,56,4,17,505,1
303,146,463,150,57,4,17.25,505,1
306,146,464,150,59,5,17.5,505,1
309,146,464,150,60,6,17.75,505,1
312,146,464,150,61,10,18,505,1
315,146,464,150,62,12,18.25,505,1
318,146,464,150,64,13,18.5,505,1
321,146,464,150,65,14,18.75,505,1
324,146,464,150,67,16,19,505,1
327,146,464,150,68,17,19.25,505,1
330,146,464,150,69,19,19.5,505,1
333,146,465,150,69,20,19.75,505,1
336,146,466,150,69,22,20,505,1
339,146,466,150,69,23,20.25,505,1
342,146,466,150,69,24,20.5,505,1
345,146,466,150,69,24,20.75,505,1
