r,run,proliferated
0.01,1,36
0.01,10,38
0.01,2,31
0.01,3,38
0.01,4,23
0.01,5,45
0.01,6,30
0.01,7,37
0.01,8,41
0.01,9,28
0.1,1,20
0.1,10,23
0.1,2,27
0.1,3,34
0.1,4,39
0.1,5,24
0.1,6,56
0.1,7,35
0.1,8,30
0.1,9,21
1,1,24
1,10,35
1,2,37
1,3,49
1,4,26
1,5,34
1,6,15
1,7,38
1,8,21
1,9,28
10,1,28
10,10,18
10,2,16
10,3,20
10,4,10
10,5,19
10,6,19
10,7,24
10,8,11
10,9,13
