proliferated,r,run
0,4,1
234,0.125,10
203,0.125,2
194,0.125,3
239,0.125,4
244,0.125,5
218,0.125,6
228,0.125,7
245,0.125,8
241,0.125,9
197,0.167,1
123,0.167,10
185,0.167,2
180,0.167,3
214,0.167,4
165,0.167,5
156,0.167,6
205,0.167,7
216,0.167,8
211,0.167,9
130,0.25,1
176,0.25,10
156,0.25,2
144,0.25,3
167,0.25,4
126,0.25,5
128,0.25,6
165,0.25,7
177,0.25,8
165,0.25,9
91,0.5,1
57,0.5,10
79,0.5,2
64,0.5,3
82,0.5,4
140,0.5,5
87,0.5,6
100,0.5,7
92,0.5,8
102,0.5,9
2,2,1
0,4,1
1,2,2
7,2,3
1,2,4
3,2,5
3,2,6
5,2,7
6,2,8
4,2,9
0,4,1
0,4,1
0,4,2
0,4,1
0,4,4
0,4,5
0,4,6
0,4,7
1,4,8
0,4,9
0,6,1
0,6,10
0,6,2
0,6,3
0,6,4
0,6,5
0,6,6
0,6,7
0,6,8
0,6,9
0,8,1
0,8,10
0,8,2
0,8,3
0,8,4
0,8,5
0,8,6
0,8,7
0,8,8
0,8,9
